0,1,2,3
2010-02-26,29.897655,18.464844,0.12810662
2010-02-27,24.596094,18.584375,0.14556172
2010-02-28,30.85918,22.760937,0.052865125
2010-03-01,34.947853,28.259375,0.012716466
2010-03-02,35.976173,30.396875,0.0
2010-03-03,35.15879,30.07168,0.047290258
2010-03-04,37.36836,23.50625,0.0
2010-03-05,37.59336,22.177345,0.0
2010-03-06,39.853905,15.448439,0.0
2010-03-07,43.299217,18.935938,0.0
2010-03-08,45.33828,24.539845,0.0
2010-03-09,47.876564,25.633204,0.0
2010-03-10,55.104687,26.916407,0.0
2010-03-11,56.76406,32.97295,0.0
2010-03-12,61.334373,36.296093,0.16547745
2010-03-13,46.582813,40.767967,0.3015811
2010-03-14,44.47344,39.671093,1.644932
2010-03-15,41.421875,38.591797,0.095041886
2010-03-16,42.033592,34.816017,0.0
2010-03-17,57.55156,27.570312,0.0
2010-03-18,59.998436,28.42461,0.0
2010-03-19,61.30625,32.316628,0.0
2010-03-20,64.484375,37.051952,0.0
2010-03-21,65.524994,39.903126,0.0
2010-03-22,68.7875,43.334373,0.025183024
2010-03-23,60.574997,42.69453,0.29481438
2010-03-24,43.06719,36.86914,0.046751995
2010-03-25,56.848434,34.102345,0.0
2010-03-26,61.784374,30.711523,0.47520941
2010-03-27,40.078907,19.603907,0.0
2010-03-28,44.396095,23.225,0.0
2010-03-29,43.552345,35.83906,0.91412455
2010-03-30,54.429688,34.25,0.0107460385
2010-03-31,48.945312,34.668358,0.0
2010-04-01,65.524994,35.592968,0.0
2010-04-02,77.84375,42.67344,0.0
2010-04-03,79.44687,49.690624,0.0
2010-04-04,74.975,45.689842,0.0
2010-04-05,68.140625,40.177345,0.0
2010-04-06,77.140625,46.44219,0.05240376
2010-04-07,83.1875,59.675,0.0
2010-04-08,81.3875,48.804688,0.0
2010-04-09,78.265625,37.709373,0.056210045
2010-04-10,43.109375,34.200783,0.0
2010-04-11,59.632812,35.91289,0.0
2010-04-12,67.015625,33.29551,0.0
2010-04-13,62.740623,39.02422,0.0
2010-04-14,52.109375,28.083593,0.0
2010-04-15,61.53125,33.733204,0.0
2010-04-16,75.00313,42.80703,0.0
2010-04-17,75.70625,40.205467,0.3543309
2010-04-18,42.195312,33.032715,0.022434037
2010-04-19,46.596874,31.377295,0.0
2010-04-20,60.96875,31.109228,0.0
2010-04-21,62.571877,38.029297,0.0
2010-04-22,64.65312,33.427345,0.0
2010-04-23,64.23125,31.398829,0.04767473
2010-04-24,64.99062,34.61211,0.0
2010-04-25,58.634377,43.06719,0.32880187
2010-04-26,51.36406,45.51406,0.46813512
2010-04-27,52.671875,39.783592,0.36847955
2010-04-28,50.365623,30.429394,0.0
2010-04-29,53.0375,32.534374,0.0
2010-04-30,64.765625,39.066406,0.0
2010-05-01,79.1375,49.578125,0.0
2010-05-02,84.14375,58.803123,0.0
2010-05-03,73.0625,62.99375,0.39616165
2010-05-04,74.3,47.257812,0.22560914
2010-05-05,70.05312,42.708595,0.064168654
2010-05-06,76.35312,51.265625,0.06862854
2010-05-07,67.97188,37.614452,0.0
2010-05-08,67.55,46.653126,0.4026208
2010-05-09,57.509377,37.16094,0.056517627
2010-05-10,45.366405,31.296436,0.0
2010-05-11,56.918747,32.485596,0.0
2010-05-12,46.864063,36.007812,1.2758373
2010-05-13,58.94375,44.21328,0.0
2010-05-14,56.159374,45.48594,0.0
2010-05-15,78.96875,48.748436,0.16593882
2010-05-16,67.8875,48.185936,0.0
2010-05-17,66.11562,47.103127,0.0
2010-05-18,57.04531,46.948437,0.35648397
2010-05-19,50.61875,46.990623,0.066283256
2010-05-20,62.88125,48.846874,0.0
2010-05-21,79.16562,50.84375,0.0
2010-05-22,78.125,59.196877,0.0
2010-05-23,68.899994,58.282814,0.86183614
2010-05-24,69.40625,55.554688,0.09819457
2010-05-25,72.1625,57.3125,0.0
2010-05-26,79.08125,56.032814,0.0
2010-05-27,86.25313,58.521873,0.0
2010-05-28,85.296875,60.884377,0.0
2010-05-29,75.70625,60.96875,0.08927478
2010-05-30,79.19375,51.96875,0.0
2010-05-31,82.45625,57.65,0.0
2010-06-01,83.77812,61.840622,0.07950915
2010-06-02,77.28125,51.92656,0.14379314
2010-06-03,79.868744,61.8125,0.0
2010-06-04,79.08125,62.31875,0.075279936
2010-06-05,79.868744,63.78125,0.0816622
2010-06-06,79.109375,64.0625,0.05501818
2010-06-07,74.6375,52.48906,0.054403022
2010-06-08,68.08437,42.35,0.0
2010-06-09,69.6875,51.378124,0.027163062
2010-06-10,61.3625,52.123436,1.3730322
2010-06-11,76.94375,49.971874,0.0
2010-06-12,77.75937,57.199997,0.0
2010-06-13,86.28125,66.81875,0.0
2010-06-14,80.29062,60.265625,0.113957986
2010-06-15,75.28438,60.546875,0.0
2010-06-16,72.05,63.668747,0.020069525
2010-06-17,80.96562,61.953125,0.03900485
2010-06-18,73.2875,49.353127,0.0
2010-06-19,78.546875,56.074997,0.0
2010-06-20,84.453125,63.865623,0.0054691373
2010-06-21,81.89375,57.01719,0.0
2010-06-22,82.25937,61.5875,0.0
2010-06-23,80.88125,64.2875,0.15732661
2010-06-24,86.5625,65.75,0.017474327
2010-06-25,81.66875,57.27031,0.0
2010-06-26,79.78438,56.98906,0.0
2010-06-27,82.681244,63.134377,0.22514777
2010-06-28,86.95625,69.20937,0.0
2010-06-29,79.109375,63.978127,0.1079602
2010-06-30,74.35625,43.13047,0.0
2010-07-01,70.89687,42.490623,0.0
2010-07-02,70.953125,43.13047,0.0
2010-07-03,75.087494,47.8625,0.0
2010-07-04,84.087494,52.742188,0.0
2010-07-05,87.743744,59.646873,0.0
2010-07-06,90.33125,61.446877,0.0
2010-07-07,91.45625,63.78125,0.0
2010-07-08,91.00625,62.76875,0.0
2010-07-09,92.01875,69.575,0.0
2010-07-10,85.71875,63.33125,1.305365
2010-07-11,81.10625,53.164062,0.0
2010-07-12,83.3,57.846874,0.0
